Index [<ind>],Particle X-Coordinate X Particle ID (Study 01 - Particles) [m],Particle Y-Coordinate X Particle ID (Study 01 - Particles) [m],Particle Z-Coordinate X Particle ID (Study 01 - Particles) [m]
0,0.48415,-1.08418,0.0422292
1,0.18061,-1.08414,-0.159741
2,-0.00170205,-1.08392,-0.282995
3,0.256032,-1.08434,-0.317304
4,-0.0734904,-1.08538,-0.209875
5,-0.214207,-1.08258,-0.223798
6,-0.210438,0.0198091,0.34464
7,-0.177266,-1.08031,0.0962947
8,-0.19083,-1.08309,-0.167937
9,-0.0842847,-1.08368,-0.162831
10,0.0609868,-1.08154,-0.0539307
11,0.384108,0.016583,0.265762
12,0.340208,0.0190483,0.00933153
13,0.139932,-1.08277,-0.205355
14,0.211574,0.0196697,-0.380058
15,0.063598,-1.08088,-0.380491
16,0.392029,0.0183825,0.30056
17,-0.439662,-1.08437,-0.0699708
18,0.105674,-1.085,0.193357
19,0.0857053,-1.08418,-0.109003
20,0.0298213,-1.08513,-0.0199025
21,0.27245,0.0152061,0.133883
22,0.462787,-0.589797,0.342538
23,-0.0761248,-1.0822,-0.0219224
24,-0.357998,-1.08216,0.317739
25,-0.452924,-1.08222,0.0778119
26,-0.286045,0.0176862,-0.150928
27,0.00863717,-1.08073,0.0319319
28,-0.0769562,-1.08341,0.0151665
29,-0.0313983,-1.08295,0.301816
30,0.241081,-1.08033,0.107848
31,0.165878,-1.08108,0.0780796
32,-0.419541,0.0181913,0.119159
33,-0.282961,-1.08057,0.0680274
34,-0.201934,0.0191137,0.13733
35,-0.0887425,-1.0834,-0.0574961
36,-0.276397,-1.08471,-0.355984
37,0.14971,-1.08435,-0.105762
38,-0.368449,0.0173269,0.144348
39,-0.483773,-1.08365,0.115512
40,0.187812,-1.08204,0.308201
41,-0.1723,-1.08004,0.320471
42,-0.333916,0.0169316,-0.00752435
43,-0.216029,-1.08186,0.145637
44,-0.332084,0.0154511,-0.29875
45,0.0209913,-1.08567,-0.232328
46,-0.0765185,-1.08369,0.376477
47,-0.29961,0.0176924,0.382236
48,0.273788,-1.08504,0.217863
49,0.216382,-1.08018,0.378213
50,0.0422527,-1.08381,0.116895
51,-0.213513,-0.44098,-0.0766556
52,0.399464,0.0187143,-0.068216
53,-0.133274,-1.08454,0.384332
54,0.0430299,-1.08405,-0.256402
55,0.170363,-1.08436,-0.0111193
56,-0.142375,-1.08134,0.171305
57,0.0941176,-1.08284,-0.178413
58,-0.320834,0.018465,-0.245604
59,-0.0492517,-1.08321,0.248644
60,-0.129712,-1.08462,-0.190566
61,0.335162,0.016783,-0.358166
62,0.459852,-0.944419,-0.298225
63,-0.056278,-1.0811,0.32995
64,-0.206387,-1.08337,-0.271089
65,0.103109,-1.08465,-0.35468
66,0.286088,-1.08288,0.145335
67,0.0139281,-1.08373,-0.168704
68,0.210647,-1.08352,-0.0853945
69,-0.0186007,-1.08313,-0.382965
70,-0.327107,-1.08176,0.035231
71,0.335766,0.0190699,-0.145429
72,0.0432609,-1.08423,-0.0846187
73,0.208917,-1.08402,-0.263769
74,-0.037122,-1.08354,0.105576
75,-0.0123238,-1.08476,0.192543
76,0.206806,0.0162274,0.10198
77,0.35732,0.0165971,-0.116915
78,-0.130384,-1.08461,0.251855
79,0.224477,0.0162043,-0.0416273
80,0.33079,-1.08249,-0.077698
81,0.31461,0.016192,0.0611613
82,-0.0795366,-1.08262,-0.290904
83,-0.437755,-1.08202,0.323358
84,-0.0735,-1.08351,-0.354505
85,0.395912,0.0174504,-0.351428
86,0.056087,-1.08106,0.149599
87,-0.23026,0.0188842,-0.0171666
88,0.249747,0.016186,-0.0750391
89,-0.379059,0.0181737,0.309286
90,0.373261,-1.0113,0.381937
91,0.114713,-1.08364,0.253086
92,-0.324004,0.0185289,-0.208596
93,-0.223656,0.019377,0.103992
94,0.10975,-1.08426,0.357509
95,0.45595,0.0153013,0.0162639
96,-0.171863,-1.08416,0.207577
97,0.0738074,-1.08474,0.312017
98,0.455155,-1.05972,-0.359446
99,-0.350734,0.0181491,0.217189
100,0.129898,-1.08383,0.00180607
101,0.27969,0.0186034,0.219879
102,0.243143,-1.08459,0.218704
103,-0.201764,0.017796,0.0692078
104,-0.0105741,-1.08519,-0.0347136
105,-0.00441247,-1.08617,-0.195205
106,-0.316606,0.0192239,0.201495
107,0.175569,-1.0819,-0.0833653
108,-0.0540143,-1.08506,-0.384268
109,0.243129,-1.08006,0.180457
110,0.0563057,-1.08341,0.187037
111,-0.00506596,-1.0833,-0.106463
112,-0.335586,-1.08241,0.18789
113,0.282453,0.0165306,0.0543079
114,0.346622,-1.08281,0.254164
115,-0.1674,-1.08444,0.275413
116,-0.0601341,-1.08292,-0.322748
117,0.0744039,-1.08472,-0.235902
118,0.133161,-1.08396,0.0343877
119,-0.167836,-1.08183,-0.0736664
120,-0.0152718,-1.08425,-0.0742874
121,0.33221,0.0196157,0.380266
122,-0.207757,-1.08492,0.112928
123,0.0346202,-1.0816,-0.139724
124,0.0223649,-1.08414,0.210684
125,-0.134223,-1.08242,0.0575773
126,-0.263496,-1.08287,-0.284515
127,-0.305929,0.0165426,0.0160509
128,0.202945,-1.08418,-0.0537425
129,0.436978,-1.08316,-0.189564
130,0.0583549,-1.08514,-0.164432
131,0.180066,-1.07,0.370726
132,-0.106604,-1.08323,0.328673
133,0.275829,0.0187978,-0.2708
134,-0.0986479,-1.08399,-0.13336
135,0.147902,-1.08261,-0.241551
136,0.268983,0.0163971,-0.235697
137,0.0693431,-1.08479,-0.0209803
138,-0.286063,0.0179179,-0.234311
139,-0.0338296,-1.07119,-0.117047
140,-0.00563614,-1.08276,-0.00242143
141,-0.0255997,-1.08567,0.0359953
142,0.0148207,-1.08523,0.137985
143,0.233759,-1.08139,-0.15576
144,-0.254126,0.014995,-0.299976
145,0.015945,-1.08518,0.0856283
146,0.200109,-1.08406,-0.0219325
147,-0.280104,-1.08122,-0.238567
148,0.292959,-1.0824,0.0555735
149,-0.0351386,-1.0558,0.382387
150,0.27622,-1.08205,-0.0228501
151,0.325864,0.0197379,-0.0986873
152,-0.301031,-1.08447,-0.384467
153,0.0316803,-1.08136,0.244126
154,-0.257047,0.0167838,0.256162
155,0.0179363,-1.08502,0.371433
156,-0.00522048,-1.08476,0.0636127
157,-0.10632,-1.06713,0.237639
158,-0.10315,-1.08247,0.197478
159,-0.306763,-1.08495,0.00902312
160,0.419427,-1.08197,0.254733
161,-0.27023,-1.0806,0.306035
162,-0.331469,0.018111,0.267101
163,-0.105464,-1.08425,0.362443
164,-0.117385,-1.08084,-0.0960192
165,-0.0399265,-1.0829,0.0713937
166,0.149557,-1.08357,-0.363935
167,-0.374517,0.0155392,-0.0797646
168,-0.47837,-1.08419,0.384135
169,0.00687202,-1.0593,0.19597
170,0.329732,0.0198734,-0.0282826
171,0.31477,-1.08484,-0.106347
172,-0.0803523,-1.08366,0.223644
173,-0.220897,-1.08505,0.00591609
174,-0.0500943,-1.08138,-0.0491335
